team,role,name,title,source_url,as_of,confidence
Philadelphia 76ers,ownership,Josh Harris,Managing Partner,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,ownership,David Blitzer,Co-Managing Partner,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,ownership,David Adelman,Limited Partner,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,ownership,Martin Geller,Limited Partner,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,ownership,Marc Leder,Limited Partner,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,ownership,Will Smith & Jada Pinkett Smith,Limited Partner,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,president,Bob Myers,"President, HBSE Sports",https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,president,Mike Gansey,"President, Basketball Operations",https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,gm,Elton Brand,General Manager,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,basketball_ops,Jameer Nelson,"EVP, Basketball Operations",https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,basketball_ops,Ned Cohen,Assistant General Manager,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,basketball_ops,Fan-Hal Koung,Assistant General Manager,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,scouting,Prosper Karangwa,"VP, Player Personnel",https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,basketball_ops,Harold Hichez,"Director, Player Engagement",https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,basketball_ops,Danielle Lyons,"Manager, Player Engagement",https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,basketball_ops,Randy Mims,"Executive Administrator, Player Programs & Logistics",https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,analytics,Tommy Balcetis,"Head of Basketball Intelligence, Analytics & Innovation",https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,medical,Mike Mancias,Athletic Trainer & Athletic Performance Liaison,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,basketball_ops,Dan Rosci,"Director, Team Operations",https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,basketball_ops,Joe Fichetola,Equipment Operations Manager,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,business,Tad Brown,Chief Executive Officer,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,business,Sonny Hill,Executive Advisor to the CEO,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,business,Lara Price,Chief Operating Officer,https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,business,Susan Williamson,"SVP, Business Operations",https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,business,Bob Steitz,"VP, Operations",https://www.nba.com/sixers/team/staff-directory,2026-09-19,high
Philadelphia 76ers,analytics,Ian Hillman,"SVP, Strategy and Analytics",https://www.nba.com/sixers/team/staff-directory,2026-09-19,medium
Philadelphia 76ers,analytics,Braden Moore,"SVP, Data & Analytics",https://www.nba.com/sixers/team/staff-directory,2026-09-19,medium
Philadelphia 76ers,president,Mike Gansey,"President, Basketball Operations (BBRef personnel executive, present)",https://www.basketball-reference.com/teams/PHI/executives.html,2026-09-19,high
