cluster_name,title,author,year,lane,goodreads_rating,goodreads_count,method,epistemology,notes
Simmons_lineage,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,2009,narrative,4.20,38724,Anecdote + ranking,Fan-intellectual voice,Common ancestor; Hall of Fame arguments + cultural references + Boston fandom
Simmons_lineage,Basketball (and Other Things): A Collection of Questions Asked Answered Illustrated,Shea Serrano,2017,how_to_watch,4.38,6723,Illustrated debate-essay,Fan humor,Direct descendant; Simmons tone + playful rankings
Simmons_lineage,There's Always This Year: On Basketball and Ascension,Hanif Abdurraqib,2024,narrative,4.25,15128,Literary cultural essay,Memoir + place,Branch toward creative nonfiction; Cleveland/LeBron fandom
Oliver_lineage,Basketball on Paper: Rules and Tools for Performance Analysis,Dean Oliver,2004,analytics,4.06,480,Four-factors + per-possession,Technical coach-facing,Patriarch; foundational but dense; 480 ratings signal niche audience
Oliver_lineage,Thinking Basketball,Ben Taylor,2016,analytics,4.16,645,Cognitive-bias + possession-value,YouTube-adjacent literacy,Bridge between Oliver density and general reader; myth-busting
Oliver_lineage,The Midrange Theory: Basketball's Evolution In the Age of Analytics,Seth Partnow,2021,analytics,4.09,758,Front-office analytics (draft/cap/RAPM),Insider practitioner,Applied analytics; written by former Bucks exec
Visual_analytics,Sprawlball: A Visual Tour of the New Era of the NBA,Kirk Goldsberry,2019,analytics,4.11,1735,Shot-chart spatial data,Design-forward stats,Convergent branch: Oliver method + Simmons accessibility; marketed to FreeDarko readers
Proto_analytics,FreeDarko Presents: The Macrophenomenal Pro Basketball Almanac: Styles Stats and Stars in Today's Game,Bethlehem Shoals and FreeDarko collective,2008,how_to_watch,4.28,1348,Aesthetic + early stats,Pre-YouTube smart-fan,Stylistic ancestor Sprawlball name-checks; between Simmons culture and analytics vernacular
Cross_sport_econ,Scorecasting: The Hidden Influences Behind How Sports Are Played and Games Are Won,Tobias J. Moskowitz; L. Jon Wertheim,2011,analytics,3.82,5852,Behavioral econ multi-sport,Moneyball-adjacent,Shares Oliver bias-debunking; dilutes basketball depth for cross-sport reach
Dynasty_oral_history,Showtime: Magic Kareem Riley and the Los Angeles Lakers Dynasty of the 1980s,Jeff Pearlman,2014,history,4.36,4957,Reported access + many voices,Proximity to sources,Showtime Lakers; Simmons immersion without ranking thesis
Dynasty_oral_history,Dream Team: How Michael Magic Larry Charles and the Greatest Team of All Time Conquered the World and Changed the Game of Basketball Forever,Jack McCallum,2012,history,4.23,14277,1992 Olympics reporting,Commemorative hagiography,Popular history; Last Dance-adjacent lore
Dynasty_oral_history,The Victory Machine: The Making and Unmaking of the Warriors Dynasty,Ethan Sherwood Strauss,2020,narrative,3.73,1706,Modern dynasty reportage,Journalistic FO access,Warriors FO/KD era; narrative companion to Sprawlball's on-court analytics
Team_era_deep_dive,Blood in the Garden: The Flagrant History of the 1990s New York Knicks,Chris Herring,2022,history,4.29,5153,Oral-history team era,Reported depth,1990s Knicks cultural/physical nostalgia
Team_era_deep_dive,Seven Seconds or Less: My Season on the Bench with the Runnin' and Gunnin' Phoenix Suns,Jack McCallum,2006,narrative,4.04,4524,Embedded season chronicle,Participant-observer,Phoenix Suns pace-and-space; narrative access documenting offense analytics later explain
Rivalry_memoir,When the Game Was Ours,Larry Bird; Earvin Magic Johnson; Jackie MacMullan,2009,memoir,4.23,16273,First-person memory,Player authority,Bird-Magic rivalry; 80s desk reading without analytics
Rivalry_memoir,Eleven Rings: The Soul of Success,Phil Jackson; Hugh Delehanty,2013,memoir,4.19,18987,Coach memoir,Coaching popularization,Bulls/Lakers; triangle culture vs Simmons rankings or Taylor bias chapters
Embedded_narrative,The Breaks of the Game,David Halberstam,1981,narrative,4.22,13656,Season-long immersion,Literary journalism,1979-80 Trail Blazers; canonical longform narrative bar that Simmons-era echoes
Cultural_history,The City Game: Basketball from the Garden to the Playgrounds,Pete Axthelm,1970,history,4.09,394,Place + sociology,Pre-analytics localism,NYC playground-to-Garden; ancestor of smart-fan cultural writing
Watch_guide_hybrid,How to Watch Basketball Like a Genius: What Game Designers Economists Ballet Choreographers and Theoretical Astrophysicists Reveal About the Greatest Game on Earth,Nick Greene,2021,how_to_watch,3.76,1454,Interdisciplinary concepts,Designer/economist/astrophysicist analogies,Third path between narrative and analytics; lighter on math than Oliver
